loss,val_loss
0.019358379766345024,0.005838440265506506
0.0056449733674526215,0.004661048296838999
0.0046318103559315205,0.004223445896059275
0.00409383000805974,0.004298138897866011
0.0037356512621045113,0.0035390970297157764
0.0035282233729958534,0.003274364862591028
0.0030606526415795088,0.0031723135616630316
0.0030055732931941748,0.004944616463035345
0.0028862645849585533,0.002749402541667223
0.002552094403654337,0.002644371008500457
0.002260675420984626,0.0025112212169915438
0.002521220361813903,0.002839235821738839
0.0020219103898853064,0.0021662579383701086
0.0020218752324581146,0.0022168585564941168
0.0021839539986103773,0.0023360936902463436
0.0020004184916615486,0.0022160799708217382
0.0016618414083495736,0.0017267545918002725
0.0015275011537596583,0.0017745379591360688
0.001584143377840519,0.0016628296580165625
0.0016470547998324037,0.0016879733884707093
0.0014518594834953547,0.0016785928746685386
0.001268502208404243,0.002215432468801737
0.001287634251639247,0.001459586783312261
0.0012835762463510036,0.0014931333716958761
0.0012276385677978396,0.0015906409826129675
0.0011882857652381063,0.0013428506208583713
0.0011332673020660877,0.0013931371504440904
0.001138742663897574,0.0013275534147396684
0.0010954232420772314,0.0013478179462254047
0.0011847801506519318,0.0014768822584301233
0.0012717064237222075,0.0014304651413112879
0.0010534990578889847,0.001465042121708393
0.0010870910482481122,0.0013449310790747404
0.0010844044154509902,0.001348861726000905
0.0010738628916442394,0.0014534906949847937
0.0010529708815738559,0.0012564636999741197
0.0010645728325471282,0.00156458280980587
0.001140980632044375,0.0012424099259078503
0.001051773433573544,0.0015454859239980578
0.0010817680740728974,0.0012342004338279366
0.0011408893624320626,0.0018606659723445773
0.0010614654747769237,0.001298269722610712
0.0011286524822935462,0.0012392251519486308
0.0009728663135319948,0.0012854085071012378
0.0010287858312949538,0.0012550628744065762
0.001087441574782133,0.0012966268695890903
0.000952010101173073,0.0013839452294632792
0.0010399131570011377,0.0012336287181824446
0.0009556232835166156,0.0012605341617017984
0.0009855282260105014,0.0012452048249542713
